timestamp,thread,cls,name,method,tag,arg_0,arg_1,arg_2,arg_3,arg_4,arg_5,arg_6,arg_7,arg_8,arg_9,arg_10,arg_11,arg_12,arg_13,arg_14,arg_15,arg_16,arg_17,arg_18,arg_19
9,main,Controller,controller,state,test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,main,Inertial,inertial,state,test,1,429,0,0,1,0,0,0,0.3967406,0.4882961,0.2441481,-0.1737061,0.6751709,0.7711182,1
10,main,Motor,motor_a,state,test,1,442,1073741823,0,1,0,2,0,0,0,0,0,0,30,0
11,main,Motor,motor_a,spin,,0
673,t55339156,Controller,controller,axis2_changed,,37
713,t55339156,Controller,controller,axis2_changed,,94
733,t55339156,Controller,controller,axis2_changed,,127
1011,main,Controller,controller,state,test,0,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,main,Inertial,inertial,state,test,1,1429,0,0,1,0,0,0,0.3662221,0.7019257,0.2136296,-0.1722412,0.638916,0.7590332,1
1012,main,Motor,motor_a,state,test,1,1430,1073741823,0,1,0,0,272.4,51.53333,0.033,0,0,0,30,50
1013,main,Motor,motor_a,spin,,1
1033,t55339156,Controller,controller,axis2_changed,,58
1063,t55339156,Controller,controller,axis2_changed,,15
1083,t55339156,Controller,controller,axis2_changed,,0
1173,t55339156,Controller,controller,axis2_changed,,-48
1293,t55339156,Controller,controller,axis2_changed,,-91
1313,t55339156,Controller,controller,axis2_changed,,-127
1413,t55863444,Controller,controller,axis1_changed,,38
1453,t55863444,Controller,controller,axis1_changed,,81
1503,t55863444,Controller,controller,axis1_changed,,124
1523,t55339156,Controller,controller,axis2_changed,,-70
1623,t55339156,Controller,controller,axis2_changed,,-30
1743,t55863444,Controller,controller,axis1_changed,,61
1763,t55863444,Controller,controller,axis1_changed,,0
1763,t55339156,Controller,controller,axis2_changed,,-66
1813,t55863444,Controller,controller,axis1_changed,,-50
1843,t55339156,Controller,controller,axis2_changed,,-30
1863,t55863444,Controller,controller,axis1_changed,,-114
1863,t55339156,Controller,controller,axis2_changed,,0
1953,t55339156,Controller,controller,axis2_changed,,57
1993,t55339156,Controller,controller,axis2_changed,,96
2013,main,Controller,controller,state,test,-117,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,main,Inertial,inertial,state,test,1,2420,0.01328614,0.01328614,0,1.365081,-0.3576192,0.01328614,-1.525926,0,1.159703,-0.1707764,0.6517334,0.7741699,1
2014,main,Motor,motor_a,state,test,1,2418,1073741823,0,1,0,1,26.4,-49.73333,0.051,0.03335406,0.00640552,22.73205,30,-50
2015,main,Motor,motor_a,spin,,0
2093,t55863444,Controller,controller,axis1_changed,,54
2123,t55863444,Controller,controller,axis1_changed,,127
2173,t55339156,Controller,controller,axis2_changed,,51
2353,t55339156,Controller,controller,axis2_changed,,89
2373,t55863444,Controller,controller,axis1_changed,,95
2413,t55863444,Controller,controller,axis1_changed,,60
2743,t55339156,Controller,controller,axis2_changed,,51
2773,t55863444,Controller,controller,axis1_changed,,0
2773,t55339156,Controller,controller,axis2_changed,,0
2943,t55863444,Controller,controller,axis1_changed,,34
2983,t55863444,Controller,controller,axis1_changed,,127
3016,main,Controller,controller,state,test,127,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3019,main,Inertial,inertial,state,test,1,3410,359.7967,-0.2032878,0,10.21094,-2.622178,-0.2032878,1.190222,0,-0.2746666,-0.1722412,0.6993408,0.7678223,1
3020,main,Motor,motor_a,state,test,1,3422,1073741823,0,1,0,0,271.2,50.06667,0.035,0,0,0,30,50
3021,main,Motor,motor_a,spin,,1
3364,t55863444,Controller,controller,axis1_changed,,0
3694,t55339156,Controller,controller,axis2_changed,,60
3724,t55863444,Controller,controller,axis1_changed,,-43
3724,t55339156,Controller,controller,axis2_changed,,95
3754,t55339156,Controller,controller,axis2_changed,,127
3974,t55863444,Controller,controller,axis1_changed,,-11
4021,main,Controller,controller,state,test,-3,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4021,main,Inertial,inertial,state,test,1,4410,359.1779,-0.8221006,0,19.31038,-4.880807,-0.8221006,0,-0.3357036,0,-0.1827393,0.7161865,0.7595215,1
4022,main,Motor,motor_a,state,test,1,4410,1073741823,0,1,0,1,21.2,-49.2,0.06400001,0.06369597,0.01236517,35.1182,30,-50
4023,main,Motor,motor_a,spin,,0
4052,t55863444,Controller,controller,axis1_changed,,0
4072,t55339156,Controller,controller,axis2_changed,,77
4092,t55339156,Controller,controller,axis2_changed,,45
4152,t55339156,Controller,controller,axis2_changed,,0
4272,t55339156,Controller,controller,axis2_changed,,-32
4292,t55339156,Controller,controller,axis2_changed,,-66
4312,t55339156,Controller,controller,axis2_changed,,-107
4442,t55863444,Controller,controller,axis1_changed,,41
4532,t55863444,Controller,controller,axis1_changed,,127
4572,t55339156,Controller,controller,axis2_changed,,-68
4632,t55339156,Controller,controller,axis2_changed,,-31
4712,t55339156,Controller,controller,axis2_changed,,0
4822,t55339156,Controller,controller,axis2_changed,,41
4912,t55863444,Controller,controller,axis1_changed,,10
4912,t55339156,Controller,controller,axis2_changed,,0
4932,t55863444,Controller,controller,axis1_changed,,0
5027,main,Motor,motor_a,stop,
